Titulo;ISSN;eISSN;Categorias;Indices;Citacoes;JIF_2025;QuartilMelhor;Quartis
CA-A CANCER JOURNAL FOR CLINICIANS;00079235;15424863;ONCOLOGY;SCIE;78841;685.2;Q1;Q1
NATURE REVIEWS MOLECULAR CELL BIOLOGY;14710072;14710080;CELL BIOLOGY;SCIE;83533;118;Q1;Q1
LANCET;01406736;1474547X;MEDICINE, GENERAL & INTERNAL;SCIE;378842;109;Q1;Q1
NATURE REVIEWS MICROBIOLOGY;17401526;17401534;MICROBIOLOGY;SCIE;71046;104.6;Q1;Q1
MMWR Surveillance Summaries;15458636;15458636;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;SCIE;3511;96.9;Q1;Q1
Nature Reviews Clinical Oncology;17594774;17594782;ONCOLOGY;SCIE;39514;94.6;Q1;Q1
NATURE REVIEWS DRUG DISCOVERY;14741776;14741784;BIOTECHNOLOGY & APPLIED MICROBIOLOGY | PHARMACOLOGY & PHARMACY;SCIE;57448;91.2;Q1;Q1
NEW ENGLAND JOURNAL OF MEDICINE;00284793;15334406;MEDICINE, GENERAL & INTERNAL;SCIE;414591;84.5;Q1;Q1
Nature Reviews Materials;20588437;20588437;MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;49906;83.3;Q1;Q1
Signal Transduction and Targeted Therapy;20959907;20593635;BIOCHEMISTRY & MOLECULAR BIOLOGY | CELL BIOLOGY;SCIE;88969;81.2;Q1;Q1
ANNALS OF ONCOLOGY;09237534;15698041;ONCOLOGY;SCIE;68920;80.4;Q1;Q1
Nature Reviews Disease Primers;2056676X;2056676X;MEDICINE, GENERAL & INTERNAL;SCIE;45742;79.8;Q1;Q1
World Psychiatry;17238617;20515545;PSYCHIATRY;SCIE, SSCI;17298;79.5;Q1;Q1
Nature Reviews Earth & Environment;N/A;2662138X;ENVIRONMENTAL SCIENCES | GEOSCIENCES, MULTIDISCIPLINARY | METEOROLOGY & ATMOSPHERIC SCIENCES;SCIE;20911;74.1;Q1;Q1
Nature Energy;20587546;20587546;ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;64421;70.1;Q1;Q1
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION;00987484;15383598;MEDICINE, GENERAL & INTERNAL;SCIE;205027;65.4;Q1;Q1
Living Reviews in Relativity;23673613;14338351;PHYSICS, PARTICLES & FIELDS;SCIE;5696;64.6;Q1;Q1
CHEMICAL REVIEWS;00092665;15206890;CHEMISTRY, MULTIDISCIPLINARY;SCIE;262229;64.2;Q1;Q1
NATURE REVIEWS CANCER;1474175X;14741768;ONCOLOGY;SCIE;62745;60.7;Q1;Q1
Nature Reviews Gastroenterology & Hepatology;17595045;17595053;GASTROENTEROLOGY & HEPATOLOGY;SCIE;35643;57.5;Q1;Q1
CANCER CELL;15356108;18783686;CELL BIOLOGY | ONCOLOGY;SCIE;64398;56.1;Q1;Q1
NATURE;00280836;14764687;MULTIDISCIPLINARY SCIENCES;SCIE;1053832;56.1;Q1;Q1
Annual Review of Organizational Psychology and Organizational Behavior;23270608;23270616;MANAGEMENT | PSYCHOLOGY, APPLIED;SSCI;8791;55.9;Q1;Q1
BMJ-British Medical Journal;0959535X;17561833;MEDICINE, GENERAL & INTERNAL;SCIE;188624;55.1;Q1;Q1
LANCET NEUROLOGY;14744422;14744465;CLINICAL NEUROLOGY;SCIE;59391;54.6;Q1;Q1
Nature Reviews Methods Primers;N/A;26628449;MULTIDISCIPLINARY SCIENCES;SCIE;14296;54.2;Q1;Q1
eScience;20972431;26671417;ELECTROCHEMISTRY | MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;9810;52.9;Q1;Q1
NATURE MEDICINE;10788956;1546170X;BIOCHEMISTRY & MOLECULAR BIOLOGY | CELL BIOLOGY | MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;154284;52.5;Q1;Q1
NATURE REVIEWS GENETICS;14710056;14710064;GENETICS & HEREDITY;SCIE;46718;51.4;Q1;Q1
MMWR Recommendations and Reports;10575987;15458601;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;SCIE;3790;51.3;Q1;Q1
Electrochemical Energy Reviews;25208489;25208136;ELECTROCHEMISTRY;SCIE;7934;50.7;Q1;Q1
IEEE Communications Surveys and Tutorials;N/A;1553877X;COMPUTER SCIENCE, INFORMATION SYSTEMS | TELECOMMUNICATIONS;SCIE;37232;50.6;Q1;Q1
Nature Reviews Chemistry;N/A;23973358;CHEMISTRY, MULTIDISCIPLINARY;SCIE;19843;50.3;Q1;Q1
Nature Reviews Cardiology;17595002;17595010;CARDIAC & CARDIOVASCULAR SYSTEMS;SCIE;27057;50.2;Q1;Q1
REVIEWS OF MODERN PHYSICS;00346861;15390756;PHYSICS, MULTIDISCIPLINARY;SCIE;71972;48.9;Q1;Q1
CHEMICAL SOCIETY REVIEWS;03060012;14604744;CHEMISTRY, MULTIDISCIPLINARY;SCIE;194270;48.3;Q1;Q1
Nature Catalysis;25201158;25201158;CHEMISTRY, PHYSICAL;SCIE;38981;48.3;Q1;Q1
Journal of Hematology & Oncology;N/A;17568722;HEMATOLOGY | ONCOLOGY;SCIE;32695;47.8;Q1;Q1
SCIENCE;00368075;10959203;MULTIDISCIPLINARY SCIENCES;SCIE;831162;47.3;Q1;Q1
NATURE REVIEWS IMMUNOLOGY;14741733;14741741;IMMUNOLOGY;SCIE;69495;47.1;Q1;Q1
Nature Reviews Nephrology;17595061;1759507X;UROLOGY & NEPHROLOGY;SCIE;23411;46.7;Q1;Q1
Nature Reviews Physics;N/A;25225820;PHYSICS, APPLIED | PHYSICS, MULTIDISCIPLINARY;SCIE;16004;46.6;Q1;Q1
EUROPEAN HEART JOURNAL;0195668X;15229645;CARDIAC & CARDIOVASCULAR SYSTEMS;SCIE;104376;45.3;Q1;Q1
CELL;00928674;10974172;BIOCHEMISTRY & MOLECULAR BIOLOGY | CELL BIOLOGY;SCIE;329596;45.1;Q1;Q1
JOURNAL OF CLINICAL ONCOLOGY;0732183X;15277755;ONCOLOGY;SCIE;180692;44.7;Q1;Q1
NATURE BIOTECHNOLOGY;10870156;15461696;BIOTECHNOLOGY & APPLIED MICROBIOLOGY;SCIE;111118;44.5;Q1;Q1
iMeta;27705986;2770596X;MICROBIOLOGY;SCIE;7646;44.4;Q1;Q1
PROGRESS IN MATERIALS SCIENCE;00796425;18732208;MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;44527;42.9;Q1;Q1
Nature Reviews Bioengineering;N/A;27316092;ENGINEERING, BIOMEDICAL | MATERIALS SCIENCE, BIOMATERIALS;SCIE;5529;42.7;Q1;Q1
Nature Electronics;25201131;25201131;ENGINEERING, ELECTRICAL & ELECTRONIC;SCIE;26060;42.3;Q1;Q1
Molecular Cancer;N/A;14764598;BIOCHEMISTRY & MOLECULAR BIOLOGY | ONCOLOGY;SCIE;53231;42.2;Q1;Q1
Annual Review of Psychology;00664308;15452085;PSYCHOLOGY | PSYCHOLOGY, MULTIDISCIPLINARY;SCIE | SSCI;35759;41.8;Q1;Q1
CIRCULATION;00097322;15244539;CARDIAC & CARDIOVASCULAR SYSTEMS | PERIPHERAL VASCULAR DISEASE;SCIE;186674;41.3;Q1;Q1
PROGRESS IN ENERGY AND COMBUSTION SCIENCE;03601285;1873216X;ENERGY & FUELS | ENGINEERING, CHEMICAL | ENGINEERING, MECHANICAL | THERMODYNAMICS;SCIE;19918;41.3;Q1;Q1
JOURNAL OF HEPATOLOGY;01688278;16000641;GASTROENTEROLOGY & HEPATOLOGY;SCIE;73177;40.1;Q1;Q1
Annual Review of Immunology;07320582;15453278;IMMUNOLOGY;SCIE;20193;39.8;Q1;Q1
Innovation;26666758;26666758;MULTIDISCIPLINARY SCIENCES;ESCI;13607;39.5;Q1;Q1
Lancet Gastroenterology & Hepatology;N/A;24681253;GASTROENTEROLOGY & HEPATOLOGY;SCIE;19481;39.1;Q1;Q1
Nature Reviews Endocrinology;17595029;17595037;ENDOCRINOLOGY & METABOLISM;SCIE;27488;39.1;Q1;Q1
International Journal of Educational Technology in Higher Education;23659440;23659440;EDUCATION & EDUCATIONAL RESEARCH;SSCI;9825;38.7;Q1;Q1
